file,meeting_title,theme,label,description,quote_text,speaker_mix,label_quote_jaccard,overlap_with_safety_label,generic_admin_label,safety_like_language,fidelity_score_0_2,review_notes
03a609d7-bd48-48aa-a708-650afb1d3a58.json,Orion Forge Industrial // Voxel,other,Retail floor hazard detection to reduce liability exposure,Detect floor hazards and notify staff to reduce customer incident risk and associated liability exposure.,"They had something on the floor that led to a costly customer incident. || With our camera, we are going to see those floor hazards and notify them quickly.",voxel_only,0.04,False,False,True,,
c3ceb91a-e15d-4326-8a39-cfdb26dde294.json,Summit Span Solutions / Voxel Sync,other,Contract renewal language clarification,"Clarify how the existing renewal language works and what written notice could affect in future periods, without preserving the exact clause mechanics.",I want to confirm what our obligations are under the current contract timing. || My understanding is that written notice after the upcoming renewal point could affect a later period. || So written notice could still be submitted shortly after that renewal timing. || And then that notice would be taken into account for the following period.,mixed,0.06060606060606061,False,False,False,,
b5715671-0f5a-4f2a-9584-43420ff6ebc4.json,Cedar Field Materials // Voxel (Camera Assessment),asset_and_loss_prevention,Pilot KPI tracking and weekly reviews,"Define measures of success for the trial, set KPIs, and hold regular (weekly/bi-weekly) reviews to track trends, compare to other organizations, and surface wins in the data.","what are the measures of success? I would love for you to help me build that. How do we track that on a certain frequency? || How does this compare to other organizations? And helping me find the wins in the data would be helpful. || And typically, probably a weekly meeting is probably the best, right?... But we can set those parameters and KPIs, right? || And then we'll put together, you know, a project plan for you that hits on those milestones and has things and deliverables and measurables that we're targeting and working towards together.",mixed,0.01818181818181818,False,True,False,,
980ead37-1d6b-4667-83b2-04150d12e552.json,Bridge Mill Transport / Voxel Bi-Weekly Sync,adoption_and_enablement,Address PIT parking duration impacting aisle flow at central crossway,Monitor and reduce PITs left parked in travel aisles at the central crossway to maintain flow and policy compliance using coaching and write-ups.,"The one area I wanted to highlight with you was parking duration, because that saw a pretty sharp increase this past month. || And it looks like, you know, far and away, the central crossway is the top offender. || No, they're not supposed to. || We coach them or we do a write-up, and it's the back and forth with the union on what's okay.",mixed,0.09523809523809523,False,False,True,,
be401ee4-de53-401a-b1ad-d26e3ae2d018.json,Jetty Steel Systems / Voxel Call,workflow_and_accountability,Distributed area ownership via Boards and tier process,Establish area champions/owners with their own Boards and incorporate reviews into tiered daily/weekly management to avoid bottlenecks.,"we have to create almost like area champions in a way where they have their own dashboard of those areas that they're managing || each of those areas have owners, right? So we could tie that into what you're saying, right? And they could be a daily topic, a weekly topic... incorporate right into our daily management. || you could create as many as you want here, and then you could add a restrict access based on certain folks... they could each have their own board that they kind of land on and engage with and are responsible for.",mixed,0.0196078431372549,False,True,False,,
d5d1c152-b84d-44a3-9ee7-03f31409463c.json,Voxel - Innovation Talk Overview,compliance_and_quality,Automated global regulation monitoring for customs services,Automate integration and monitoring of incoming regulations and compliance updates from global sources for the customs services team.,"So we're looking at how to integrate and automate the regulation monitoring for all incoming or new regulations and compliance from every source in the world, you could say.",customer_only,0.047619047619047616,False,False,False,,
09b3303f-0b38-49f8-8f9c-4d4f74337e9d.json,Mason Line Supply + Voxel,efficiency_and_operations,PIT parking duration monitoring and camera zone tuning,"Track extended PIT parking durations that may reflect normal work (e.g., lunch, labeling) and refine camera zones to exclude expected parking areas.","I think that that has to do with most of the time because they park their vehicle and they go for lunch or they park their vehicle. || So the vehicle will be parked for a while before it's actually moved. || So that I think will always be going up instead of going down. || Yeah, and I think there's also, Harper, there's some fine-tuning we can do on the camera views for where we expect PIT to be parked, because I know that's changed recently, and where we expect freight to sit and where not to sit, because I know today, I painted the brush quite broad to try and capture everything, and then now we're just going to narrow it down a bit to not focus on some of those areas.",customer_only,0.05084745762711865,False,False,True,,
6d7ca0e7-7ecf-4a8c-a148-0e270a28ee89.json,Voxel / Titan Stack Operations - Check-in,reporting_and_analytics,Restore dashboard deep links in daily incident email,Provide direct links in the daily email so leaders can click through to the dashboard as in the previous report format.,"So one, how he was entering to the dashboard was with an email that was sent with the numbers of the incidents. || So he used to just to click there and he was like a link to the dashboard. || That's not possible in the new dashboard report that is being sent every day. || Is to change the report to the to the last version or if it's possible to add the links to the new dashboard report daily? || if you scroll to the bottom of the new email, there is a link that opens to the main dashboard, and we already have follow-up work planned to make navigation from that email easier again.",mixed,0.0851063829787234,False,False,False,,
01c88a52-b251-43eb-bdd9-51c94643c04e.json,Voxel Training- Cassidy @ Cedar Brook Foods,video_and_investigation,Video footage retrieval,Retrieve camera footage from the platform as needed.,"I do do a little bit of footage retrieval, but for the most part, more so technical manager of the system.",customer_only,0.16666666666666666,False,False,False,,
ed7d25b7-2ff1-415d-b27e-fbc76f5084ca.json,Oak Motive Solutions / Voxel Bi-Weekly Sync,adoption_and_enablement,Increase camera coverage for monitoring and business case,Expand camera coverage so critical areas (including seldom-accessed zones) are visible for monitoring and to support the business case for broader deployment.,"We don't have a closer camera right there, and that's what I was thinking about because, actually, the event's not even on camera. || These cameras aggravate me sometimes with this motion detection because it only records whenever it detects motion. || making sure that all of the routinely accessed areas and all the areas that are, you know, not necessarily routinely accessed, but, you know, seldomly accessed, have have coverage that you can leverage, you know, our type of technology for that. || Rich Mills is wanting to increase camera coverage. And this helps, like, feed into that entire business case conversation as to why we need more coverage in the plant besides the several cameras.",mixed,0.07936507936507936,False,True,False,,
